@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {near,far}

@data
2.18145,5.38138,1.832787,3.68138,near
4.347627,5.24422,2.447627,1.593315,near
3.557366,3.647627,2.64422,1.644348,near
2.58145,1.94422,0.774008,2.093315,near
7.548162,4.857366,1.576402,3.146283,far
11.24418,6.348162,3.68138,4.679228,far
5.879555,3.64422,0.968451,3.744348,near
1.174418,3.346283,7.398351,2.132787,near
9.140077,5.779555,1.732787,2.747627,far
10.93315,6.179555,2.34422,6.94422,far
6.452565,6.079228,2.232787,4.657366,near
3.146283,3.58145,2.04422,1.274008,near
1.832787,5.879555,9.84418,2.88145,far
11.83315,5.579555,1.544348,3.98138,far
0.689835,1.544348,3.08138,1.093315,near
7.38138,7.283659,4.883659,3.944348,far
2.544348,3.64422,2.547627,0.547956,near
6.057366,4.179228,2.02672,3.493315,near
5.779228,2.68145,0.689835,1.544348,near
2.12672,2.94422,3.457366,1.414816,near
1.832787,8.347627,11.48451,3.08138,far
4.88138,5.979555,7.398351,4.983659,far
8.78451,8.640077,2.946283,5.646283,far
12.53315,6.279555,1.732787,4.68138,far
1.22672,2.14422,6.779555,2.18145,near
3.047627,7.998351,9.74418,4.879228,far
5.28145,5.944348,4.176402,0.774008,near
7.083659,5.479555,1.32672,2.846283,far
1.576402,2.447627,5.779555,1.476402,near
5.98145,9.483659,12.267196,7.798351,far
1.544348,4.983659,8.440077,2.746283,far
11.183659,7.179555,4.64422,6.946283,far
1.744348,2.647627,5.057366,1.42672,near
1.476402,5.152565,7.398351,3.08138,far
9.540077,6.079228,1.832787,4.552565,far
1.093315,3.08138,5.746283,1.893315,near
2.28145,6.552565,10.640077,4.352565,far
5.879555,3.046283,1.376402,2.447627,near
2.244348,5.783659,7.979555,4.679228,far
13.84418,7.298351,3.58138,8.78451,far
0.614816,0.968451,3.046283,1.393315,near
7.840077,6.748162,3.346283,3.747627,far
5.479555,3.132787,9.240077,2.676402,near
5.152565,12.440077,8.98451,3.28138,far
2.28145,4.352565,5.979555,5.28138,far
8.78451,5.983659,2.58145,2.746283,far
1.374418,5.283659,7.898351,2.18145,far
1.093315,2.747627,4.479228,1.376402,near
10.18451,9.179555,3.457366,7.098351,far
5.146283,2.18145,2.176402,1.376402,near
10.798351,6.746283,2.132787,5.679228,far
4.479228,7.198351,8.198351,2.94422,far
12.73315,13.498351,6.079228,5.779228,far
2.647627,5.979555,12.748162,4.752565,far
11.557366,12.340077,2.18145,5.479555,far
4.883659,3.28138,2.132787,2.547627,near
6.079555,5.479555,3.246283,2.74422,far
3.876402,2.032787,0.947956,2.476402,near
3.18138,2.04422,1.074008,1.22672,near
1.544348,3.879228,11.44418,1.732787,far
2.04422,1.22672,1.093315,1.932787,near
6.148162,4.357366,1.544348,3.98138,far
1.94422,6.248162,7.498351,3.747627,far
8.148162,6.348162,2.232787,3.757366,far
7.58145,11.083659,6.148162,8.640077,far
1.832787,5.652565,8.440077,3.457366,far
2.447627,6.448162,8.68451,4.38138,far
11.83315,12.598351,5.179228,4.879228,far
4.08138,1.544348,0.714816,1.944348,near
6.279228,4.983659,5.879555,1.976402,far
3.04422,6.148162,8.640077,4.78138,far
0.547956,1.94422,3.546283,1.32672,near
0.488366,1.268451,2.232787,1.093315,near
3.844348,11.047627,11.23315,5.48138,far
5.057366,9.740077,11.34418,6.557366,far
11.457366,12.240077,2.447627,6.148162,far
4.452565,7.752565,8.648162,4.852565,far
12.957366,11.38451,7.848162,7.379228,far
2.289835,3.946283,5.88138,1.293315,near
1.247956,2.144348,2.747627,1.474418,near
2.52672,3.08138,5.979555,2.04422,near
