@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {lock,right,left,start,trunk,back}

@data
0.614816,0.435257,1.039835,0.218145,trunk
0.739835,0.118984,1.018451,0.695737,start
1.632787,3.346283,3.157366,1.293315,back
0.244422,0.918451,1.432787,0.824008,left
5.857366,6.898351,1.994348,1.544348,lock
1.826402,3.797627,7.048162,3.947627,lock
1.54422,1.126402,3.457366,3.047627,left
3.08138,1.59422,0.789835,0.868451,right
1.474418,5.33145,7.740077,2.23145,left
1.882787,1.38138,2.73145,0.345737,back
3.983659,4.052565,2.243315,3.533659,right
4.029228,6.448162,9.298162,4.88145,lock
3.08138,3.907366,1.732787,2.024418,lock
3.197627,3.647627,2.032787,1.732787,lock
2.029228,5.729555,6.029555,2.54422,back
2.032787,3.89422,8.548162,3.457366,lock
3.08145,2.464816,3.457366,0.393315,back
0.918451,0.387923,0.868451,0.048837,trunk
3.082787,4.352565,4.883659,3.907366,lock
1.22672,0.318145,1.118451,0.685257,start
2.18145,2.27672,3.33138,0.674418,back
1.22672,0.308138,1.437923,0.524628,trunk
0.387923,0.658138,1.093315,0.387923,start
5.179228,3.679228,0.924418,2.043315,right
1.42672,0.122672,1.543315,0.918451,start
2.68145,3.679228,3.932787,1.093315,back
3.53138,3.907366,5.783659,1.124418,lock
6.148162,3.28138,0.768451,2.78138,right
5.379228,3.197627,1.818451,3.33145,right
1.093315,0.194422,1.22672,0.345737,start
0.587923,0.688366,0.824008,0.061482,trunk
1.926402,2.19422,0.82672,1.439835,right
3.598162,2.33145,0.874008,0.689835,right
2.19422,2.247627,1.17672,0.993315,back
1.87672,2.382787,6.279555,3.48145,left
0.645737,2.98138,6.029555,2.857366,left
0.514816,1.024418,2.347627,1.244348,left
0.974418,0.154435,1.074418,0.487923,start
1.732787,5.107366,6.898351,2.632787,lock
0.968451,2.88145,4.933659,1.32672,left
9.148162,7.198351,2.747627,4.507366,lock
3.607366,3.28138,1.793315,0.885257,back
0.537923,4.402565,6.340077,1.27672,left
1.22672,3.626402,2.78138,0.624008,back
2.144348,5.857366,7.348351,1.94422,lock
0.468145,1.43145,3.998162,1.368451,left
0.485257,0.345737,0.974418,0.012267,trunk
1.376402,3.557366,3.907366,0.435257,back
4.352565,1.77672,0.538366,1.543315,right
1.274418,0.13764,0.874008,0.614816,start
2.18145,2.746283,7.498162,1.844348,lock
1.732787,2.747627,4.58138,1.376402,lock
1.994348,4.629228,7.129555,4.652565,lock
2.107366,0.547956,1.424418,1.682787,right
3.529228,4.48138,3.929555,1.23145,back
2.126402,2.24422,8.490077,3.907366,lock
0.774008,4.683659,6.898351,1.68145,left
0.824008,0.194422,1.018451,0.345737,start
0.689835,0.024476,0.789835,0.685257,start
2.746283,5.529228,6.148162,1.882787,lock
2.08138,1.89422,1.543315,0.924418,right
3.607366,9.73451,2.63145,3.196283,lock
3.374418,5.452565,5.379228,2.144348,back
2.13145,1.63138,2.802565,0.924418,back
2.332787,5.252565,5.783659,1.093315,lock
1.093315,0.488366,1.694348,0.345737,start
1.22672,4.479228,5.183659,1.22672,lock
4.729555,2.397627,2.347627,4.13145,right
3.497627,1.576402,0.614816,1.424418,right
0.974418,3.23138,5.407366,3.08138,lock
2.679228,4.029228,3.979555,1.12672,back
0.614816,0.435257,0.845737,0.122672,trunk
0.647956,0.345737,0.974418,0.109331,trunk
3.99422,2.946283,0.918451,1.87672,right
0.747956,0.218145,1.093315,0.387923,start
5.479555,6.898162,7.133659,6.829555,lock
0.387923,2.93138,4.032787,0.644348,left
1.218451,0.122672,0.664816,0.308138,start
0.974418,5.779555,6.898162,1.94422,lock
1.794763,2.42672,5.333659,2.87672,left
0.547956,3.08138,9.898162,1.22672,lock
1.79422,1.376402,3.08138,0.787923,back
0.488366,0.122672,0.864816,0.435257,start
0.614816,0.097442,1.818451,0.647956,start
0.814816,0.395737,0.689835,0.109331,trunk
1.089835,0.824008,1.524418,0.13764,trunk
2.48145,3.382787,0.974418,1.22672,lock
1.193315,4.379228,4.357366,0.689835,back
2.18145,3.457366,3.83138,1.376402,lock
5.079228,3.83138,4.029228,5.18138,lock
1.337923,3.63138,5.902565,3.13138,left
0.445737,0.218145,0.588366,0.122672,start
4.429555,2.826402,1.138366,1.27672,right
0.938366,0.048837,0.739835,1.074418,start
0.974418,0.647956,0.868451,0.268145,trunk
4.183659,4.552565,2.743315,3.883659,right
0.714816,0.054796,0.868451,0.308138,start
1.393315,0.588366,1.882787,0.111482,trunk
1.22672,0.13764,0.868451,0.218145,start
0.664816,0.068984,0.614816,0.889835,start
0.764816,0.345737,0.689835,0.086845,trunk
3.929555,2.326402,0.938366,0.893315,right
2.747627,8.979228,11.398162,8.248162,lock
1.318451,2.782787,5.633659,2.444348,lock
2.18145,2.746283,7.740077,1.844348,lock
1.22672,0.387923,0.689835,0.194422,trunk
5.529555,3.429228,1.22672,2.693315,right
0.714816,0.474628,0.647956,0.054796,trunk
2.54422,3.607366,8.552565,5.079228,lock
1.068451,2.63138,5.083659,2.482787,left
2.032787,3.08138,4.883659,1.514816,lock
0.774008,2.144348,4.179228,1.526402,lock
3.197627,1.42672,1.093315,1.426402,right
3.476402,6.683659,7.890077,4.802565,lock
3.238366,5.597627,4.279555,2.497627,back
0.774008,0.739835,1.22672,0.274628,trunk
1.48145,2.446283,4.202565,0.387923,back
0.547956,0.664816,0.968451,0.088792,trunk
2.179228,3.879228,3.479555,1.27672,back
1.093315,5.183659,6.298162,2.33145,lock
4.979228,2.797627,1.418451,2.93145,right
4.207366,6.007366,3.347627,5.629555,lock
4.729555,2.796283,2.58138,4.044348,right
14.21402,3.08138,10.740077,5.479555,lock
1.47672,2.143315,4.129228,3.38138,left
1.124418,2.897627,4.357366,0.868451,lock
3.479228,2.23145,1.124008,1.13145,right
1.844348,4.352565,5.183659,2.18145,lock
3.857366,1.54422,0.92672,2.557366,right
0.614816,1.68145,4.329228,2.04422,left
1.94422,4.957366,5.032787,1.544348,lock
2.04422,4.096283,5.38138,1.52672,back
1.093315,1.697627,2.43145,0.408138,back
1.626402,1.22672,0.674008,0.388366,right
0.447956,3.829555,3.747627,1.532787,left
4.657366,5.079228,6.898351,2.18145,lock
2.13145,2.596283,1.194348,1.774418,right
3.529555,2.796283,0.974418,0.918451,right
1.27672,0.345737,1.876402,1.024008,start
5.383659,4.696283,2.464816,4.144348,right
2.382787,3.507366,1.294348,1.444348,back
3.457366,7.348351,3.08138,3.08138,lock
0.785257,0.013764,1.189835,0.244763,start
1.22672,3.911925,7.586448,3.405519,lock
0.488366,0.689835,0.774008,0.038792,trunk
2.594348,6.898351,1.376402,2.12672,lock
2.883659,2.129228,0.385257,1.782787,right
1.324418,3.233659,6.507366,0.824008,back
5.233659,4.029228,2.67672,4.529228,right
7.629228,5.54422,5.852565,7.348351,lock
4.129228,2.696283,1.193315,2.73145,right
1.189835,0.345737,1.364816,0.614816,start
2.547627,1.676402,1.594348,0.589835,back
1.62672,2.557366,1.94422,1.118451,back
1.274418,6.233659,4.779228,1.976402,lock
0.689835,0.122672,0.868451,0.689835,start
1.210203,0.054796,4.068563,0.489662,start
1.47672,4.93138,6.898162,2.24422,left
3.23145,5.479555,11.53315,6.002565,lock
0.689835,1.093315,0.974418,0.535257,trunk
2.33145,2.746283,4.396283,0.774008,lock
0.774008,0.097442,1.193315,0.344763,start
1.22672,3.08138,5.033659,6.079555,lock
1.67672,2.63145,6.390077,3.03138,left
0.735257,0.034574,0.868451,0.345737,start
3.346283,2.447627,1.693315,2.746283,lock
1.02672,3.18138,4.779555,0.92672,left
1.074418,0.614816,0.974008,0.019442,trunk
4.229228,3.096283,0.714816,2.48145,right
3.047627,9.74418,5.252565,1.22672,lock
3.197627,5.183659,1.093315,1.844348,lock
4.357366,4.502565,2.48145,4.329228,lock
0.587923,1.744348,1.582787,0.18764,left
2.18145,1.732787,6.148162,2.482787,lock
1.074418,3.583659,6.407366,0.868451,back
5.333659,4.429228,2.03138,4.082787,right
3.68138,6.152565,2.747627,3.457366,lock
3.647627,4.352565,1.343315,0.739835,back
1.932787,4.902565,4.557366,1.644348,back
4.083659,2.746283,1.22672,1.576402,right
1.94422,3.23138,4.802565,1.826402,lock
0.689835,0.697956,1.243315,0.068984,trunk
4.43138,5.629555,1.694348,3.232787,lock
3.796283,2.876402,1.376402,2.24422,lock
4.057366,9.28451,2.18145,2.746283,lock
1.544348,2.032787,7.740077,2.746283,lock
1.694348,2.726402,3.829228,0.568451,back
1.118451,0.127401,0.739835,0.308138,start
1.882787,3.757366,4.352565,2.746283,lock
0.345737,3.03145,7.240077,1.37672,left
1.22672,4.547627,6.448162,3.682787,lock
2.78145,3.757366,3.047627,1.376402,lock
3.757366,6.698162,1.032787,1.82672,back
1.774008,3.53145,6.390077,2.776402,left
3.08138,1.376402,1.074418,0.824008,right
1.732787,3.757366,5.033659,4.507366,lock
5.479555,5.929555,2.447627,3.347627,lock
3.046283,4.498162,1.77672,1.793315,back
2.497627,2.747627,2.28138,0.408138,back
0.635257,0.068984,0.689835,0.308138,start
3.23138,2.447627,2.744348,1.018451,lock
3.829228,3.376402,0.689835,2.432787,right
1.94422,2.582787,5.583659,3.23138,left
1.093315,3.08138,6.829555,2.12672,lock
0.614816,4.282787,4.952565,3.08138,lock
0.814816,0.154435,1.074008,0.488366,start
3.879228,4.98138,4.429555,2.18145,back
4.43138,3.38138,8.098351,3.879228,lock
0.739835,0.068984,1.093315,0.647956,start
1.093315,1.093315,0.847956,0.061482,trunk
3.232787,2.747627,4.28138,1.088366,lock
4.802565,2.897627,2.426402,3.53138,right
6.598162,4.352565,2.33145,4.802565,lock
3.457366,3.197627,1.574418,1.993315,lock
0.914816,0.194422,1.143315,0.538366,start
0.345737,4.629228,5.633659,1.17672,left
3.48138,3.702565,2.376402,2.24422,back
2.33145,4.352565,4.502565,3.879228,lock
0.408138,3.679228,7.179228,2.746283,left
1.376402,0.077401,1.27672,0.597956,start
0.689835,0.597956,0.868451,0.173279,trunk
0.614816,1.782787,4.257366,1.694348,left
1.547956,2.19422,5.383659,2.474418,left
0.414816,2.547627,3.73138,1.476402,left
0.974418,0.068984,1.489835,0.989835,start
2.83138,3.54422,3.552565,0.868451,back
1.093315,2.18145,5.779555,1.526402,lock
2.597627,5.552565,9.448162,4.507366,lock
2.597627,3.076402,3.932787,0.974418,back
0.947956,3.08138,4.057366,0.488366,left
1.732787,0.864816,0.547956,0.308138,trunk
6.979555,6.829555,5.18145,7.283659,lock
1.894348,2.83138,5.883659,3.197627,left
0.614816,3.682787,5.03138,1.618451,lock
